ts_code,trade_date,open,high,low,close,pre_close,change,pct_change,vol,amount,macd_dif,macd_dea,macd,kdj_k,kdj_d,kdj_j,rsi_6,rsi_12,rsi_24,boll_upper,boll_mid,boll_lower,ma_qfq_5,ma_qfq_10,ma_qfq_20,ma_qfq_30,ma_qfq_60,ma_qfq_90,ma_qfq_250
000001.SZ,20240102,9.39,9.42,9.21,9.21,9.39,-0.18,-1.9169,1158366.45,1075742.252,-0.162,-0.216,0.107,57.245,49.579,72.576,45.975,41.369,36.541,8.715,8.453,8.191,8.45224,8.39927,8.45316,8.65988,9.15523,9.53173,10.74307
000001.SZ,20240103,9.19,9.22,9.15,9.2,9.21,-0.01,-0.1086,733610.31,673673.614,-0.155,-0.203,0.098,52.449,50.536,56.275,45.167,40.982,36.362,8.685,8.44,8.196,8.47051,8.4084,8.44037,8.627,9.12752,9.51022,10.7305
000001.SZ,20240104,9.19,9.19,9.08,9.11,9.2,-0.09,-0.9783,864193.99,787470.082,-0.153,-0.193,0.08,41.488,47.52,29.424,37.963,37.53,34.764,8.647,8.423,8.198,8.46868,8.41571,8.42256,8.59503,9.09905,9.48728,10.71749
000001.SZ,20240105,9.1,9.44,9.07,9.27,9.11,0.16,1.7563,1991622.16,1852659.692,-0.139,-0.183,0.087,45.774,46.938,43.447,53.713,46.302,39.681,8.621,8.415,8.209,8.4358,8.42484,8.41479,8.56824,9.07104,9.46719,10.70581
000001.SZ,20240108,9.23,9.3,9.11,9.15,9.27,-0.12,-1.2945,1121156.19,1029006.549,-0.135,-0.173,0.076,39.937,44.604,30.601,43.723,41.53,37.471,8.612,8.408,8.204,8.39196,8.42027,8.40794,8.53932,9.04288,9.44709,10.69248
000001.SZ,20240109,9.16,9.19,9.09,9.18,9.15,0.03,0.3279,766193.88,700375.72,-0.128,-0.164,0.072,38.219,42.476,29.704,46.697,43.129,38.366,8.595,8.4,8.205,8.38648,8.41936,8.40018,8.51405,9.01502,9.42629,10.67915
000001.SZ,20240110,9.16,9.19,9.09,9.09,9.18,-0.09,-0.9804,858620.91,783771.15,-0.128,-0.157,0.058,27.105,37.352,6.611,39.233,39.587,36.72,8.561,8.385,8.21,8.36639,8.41845,8.38511,8.48786,8.98564,9.40163,10.66589
000001.SZ,20240111,9.08,9.22,9.03,9.17,9.09,0.08,0.8801,934686.37,853890.237,-0.12,-0.15,0.058,28.44,34.382,16.558,48.084,44.043,39.142,8.561,8.386,8.21,8.37735,8.42301,8.38557,8.47112,8.95855,9.37991,10.65246
000001.SZ,20240112,9.13,9.27,9.11,9.19,9.17,0.02,0.2181,772582.15,711018.266,-0.112,-0.142,0.061,31.968,33.577,28.751,50.258,45.146,39.744,8.562,8.387,8.213,8.36273,8.39927,8.38739,8.4562,8.93708,9.36022,10.63692
000001.SZ,20240115,9.16,9.29,9.13,9.21,9.19,0.02,0.2176,745132.66,685950.951,-0.102,-0.134,0.064,35.946,34.367,39.105,52.637,46.301,40.359,8.562,8.387,8.213,8.37369,8.38283,8.38739,8.4425,8.91592,9.34074,10.6195
000001.SZ,20240116,9.19,9.35,9.16,9.34,9.21,0.13,1.4115,1438312.58,1334465.409,-0.084,-0.124,0.08,49.168,39.3,68.902,65.508,53.278,44.222,8.581,8.397,8.213,8.40292,8.3947,8.39698,8.43367,8.89827,9.32064,10.60198
000001.SZ,20240117,9.33,9.39,9.23,9.23,9.34,-0.11,-1.1777,1482296.21,1380725.065,-0.077,-0.115,0.075,49.039,42.546,62.023,51.342,47.573,41.83,8.583,8.403,8.223,8.42849,8.39744,8.40292,8.42606,8.87817,9.297,10.58356
000001.SZ,20240118,9.21,9.24,9.0,9.2,9.23,-0.03,-0.325,1755132.47,1597853.727,-0.072,-0.106,0.067,49.786,44.96,59.44,47.948,46.104,41.196,8.576,8.411,8.245,8.43397,8.40566,8.41068,8.41693,8.86021,9.27477,10.56438
000001.SZ,20240119,9.16,9.2,9.1,9.17,9.2,-0.03,-0.3261,963981.42,881865.024,-0.07,-0.099,0.057,47.721,45.88,51.402,44.424,44.602,40.554,8.576,8.411,8.245,8.43032,8.39653,8.41068,8.4087,8.84133,9.25184,10.54639
000001.SZ,20240122,9.16,9.26,9.04,9.1,9.17,-0.07,-0.7634,1580319.66,1449858.242,-0.073,-0.094,0.041,40.361,44.04,33.002,36.843,41.185,39.073,8.577,8.406,8.235,8.41023,8.39196,8.40612,8.40262,8.82078,9.22921,10.52731
000001.SZ,20240123,9.05,9.18,8.96,9.16,9.1,0.06,0.6593,1135544.58,1030898.421,-0.07,-0.089,0.038,42.411,43.497,40.239,46.274,45.116,41.001,8.577,8.405,8.233,8.37735,8.39013,8.40475,8.39683,8.80115,9.20779,10.50846
000001.SZ,20240124,9.23,9.34,9.07,9.33,9.16,0.17,1.8559,1759123.16,1620099.272,-0.055,-0.082,0.055,56.956,47.984,74.902,64.365,54.513,46.048,8.589,8.415,8.242,8.39561,8.41205,8.41525,8.39409,8.78394,9.1874,10.48922
000001.SZ,20240125,9.33,9.54,9.27,9.5,9.33,0.17,1.8221,2162513.95,2037648.413,-0.029,-0.072,0.085,69.005,54.991,97.034,74.62,61.671,50.47,8.635,8.433,8.23,8.45042,8.44219,8.4326,8.40444,8.76903,9.16933,10.47015
000001.SZ,20240126,9.47,9.67,9.44,9.62,9.5,0.12,1.2632,2272287.06,2172799.799,0.0,-0.057,0.114,76.989,62.324,106.321,79.595,65.814,53.29,8.681,8.44,8.199,8.53262,8.48147,8.44037,8.41875,8.75593,9.15279,10.4519
000001.SZ,20240129,9.69,9.88,9.58,9.7,9.62,0.08,0.8316,2376251.84,2312173.346,0.028,-0.04,0.137,78.138,67.595,99.223,82.36,68.306,55.069,8.752,8.455,8.157,8.64222,8.52622,8.45453,8.43367,8.74406,9.13665,10.43345
000001.SZ,20240130,9.61,9.7,9.49,9.5,9.7,-0.2,-2.0619,1579122.14,1515156.604,0.035,-0.025,0.121,71.657,68.949,77.073,58.552,56.98,50.091,8.78,8.468,8.155,8.70433,8.54084,8.46777,8.44493,8.72595,9.1192,10.41434
000001.SZ,20240131,9.46,9.56,9.38,9.46,9.5,-0.04,-0.4211,1357217.47,1286857.397,0.038,-0.013,0.101,65.887,67.929,61.805,54.753,54.991,49.164,8.799,8.48,8.16,8.72808,8.56185,8.47964,8.4559,8.70859,9.10124,10.39494
000001.SZ,20240201,9.41,9.48,9.34,9.41,9.46,-0.05,-0.5285,1055259.87,993481.907,0.036,-0.003,0.077,60.229,65.362,49.964,49.897,52.492,48.004,8.808,8.493,8.179,8.71164,8.58103,8.49334,8.46746,8.692,9.08297,10.37529
000001.SZ,20240202,9.42,9.47,9.07,9.27,9.41,-0.14,-1.4878,1634214.31,1520605.695,0.023,0.002,0.042,51.385,60.703,32.748,38.442,46.093,44.91,8.808,8.493,8.179,8.6477,8.59016,8.49334,8.47051,8.67343,9.06389,10.35569
000001.SZ,20240205,9.19,9.43,9.11,9.38,9.27,0.11,1.1866,1803591.9,1674566.499,0.021,0.006,0.031,47.014,56.14,28.761,49.396,51.193,47.675,8.814,8.504,8.194,8.58925,8.61573,8.50385,8.47599,8.65942,9.04694,10.33753
000001.SZ,20240206,9.3,9.68,9.29,9.68,9.38,0.3,3.1983,1995409.54,1900324.218,0.042,0.013,0.057,56.445,56.242,56.853,68.019,61.912,54.215,8.864,8.527,8.189,8.62213,8.66323,8.52668,8.49091,8.65075,9.03111,10.32083
000001.SZ,20240207,9.62,9.67,9.48,9.61,9.68,-0.07,-0.7231,2062014.97,1975435.102,0.052,0.021,0.062,59.852,57.445,64.667,61.665,58.634,52.614,8.888,8.55,8.213,8.64953,8.6888,8.55043,8.50643,8.6407,9.01477,10.30486
000001.SZ,20240208,9.58,9.67,9.52,9.67,9.61,0.06,0.6243,1656813.84,1593505.69,0.064,0.029,0.068,64.593,59.828,74.123,65.026,60.586,53.834,8.922,8.573,8.224,8.69702,8.70433,8.57326,8.52318,8.63004,8.99965,10.29026
000001.SZ,20240219,9.76,9.81,9.65,9.81,9.67,0.14,1.4478,1605242.65,1564088.445,0.082,0.04,0.085,76.395,65.35,98.485,71.919,64.811,56.556,8.978,8.602,8.225,8.79567,8.72168,8.60158,8.53414,8.6235,8.98585,10.27542
000001.SZ,20240220,9.79,9.84,9.73,9.82,9.81,0.01,0.1019,1123563.98,1098987.813,0.097,0.051,0.091,83.398,71.366,107.461,72.385,65.103,56.746,9.028,8.629,8.231,8.87604,8.73264,8.62943,8.54723,8.61847,8.97184,10.26123
